canonical_id,year,gate,gate_reason,audit_class,audit_note,call,title
doi:101001jamacardio20222825,2022,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Sex Differences in Atrial Fibrillation Risk: The VITAL Rhythm Study.
doi:101001jamanetworkopen202317870,2023,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Mediation Analysis to Untangle Opposing Associations of High-Dose Docosahexaenoic Acid With IQ and Bronchopulmonary Dysplasia in Children Born Preterm.
doi:101002art42811,2024,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"Vitamin D and Marine n-3 Fatty Acids for Autoimmune Disease Prevention: Outcomes Two Years After Completion of a Double-Blind, Placebo-Controlled Trial."
doi:101002brb32342,2021,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Effect of omega-3 and vitamin D co-supplementation on psychological distress in reproductive-aged women with pre-diabetes and hypovitaminosis D: A randomized controlled trial.
doi:101002brb370149,2024,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Feasibility of Fish Oil Supplementation on Headache Symptoms and Blood Lipids in Migraine Patients.
doi:101002eat22964,2018,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,A pilot randomized controlled trial of omega-3 fatty acid supplementation for the treatment of anxiety in adolescents with anorexia nervosa.
doi:101002mnfr202000419,2020,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Dietary Rapeseed Oil Supplementation Reduces Hepatic Steatosis in Obese Men-A Randomized Controlled Trial.
doi:101002mnfr202000681,2021,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,No Effect of Dietary Fish Oil Supplementation on the Recruitment of Brown and Brite Adipocytes in Mice or Humans under Thermoneutral Conditions.
doi:101002uog27584,2024,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Maternal supplementation with docosahexaenoic acid does not cause constriction of fetal ductus arteriosus: randomized controlled trial.
doi:101007s00394025038785,2026,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Modulation of inflammasome components in patients with heart failure using oral nutritional supplements: investigating the molecular mechanisms beyond the clinical benefit.
